DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,MICROMEDEX_EVID_LEVEL,DRUG_1_CODE,DRUG_2_CODE,DRUG_1_QID,DRUG_2_QID,EVENT_QID,SOURCING_QID
disopyramide,erythromycin,Electrocardiogram QT prolonged,10014387,Probable,3541,4053,Q425120,Q213511,Q653924,Q56644435
sotalol,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,9947,4053,Q413591,Q213511,Q653924,Q18603603
paliperidone,sotalol,Electrocardiogram QT prolonged,10014387,Theoretical,679314,9947,Q423292,Q413591,Q653924,Q18603603
paliperidone,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,679314,2403,Q423292,Q407972,Q653924,Q18603603
risperidone,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,35636,2403,Q412443,Q407972,Q653924,Q18603603
droperidol,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,3648,26225,Q174259,Q410011,Q653924,Q18603603
droperidol,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,3648,18330,Q174259,Q7739,Q653924,Q18603603
droperidol,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,3648,3541,Q174259,Q425120,Q653924,Q18603603
droperidol,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,3648,4053,Q174259,Q213511,Q653924,Q18603603
droperidol,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,3648,21212,Q174259,Q118551,Q653924,Q18603603
droperidol,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,3648,2403,Q174259,Q407972,Q653924,Q18603603
droperidol,citalopram,Electrocardiogram QT prolonged,10014387,Theoretical,3648,2556,Q174259,Q409672,Q653924,Q18603603
haloperidol,disopyramide,Electrocardiogram QT prolonged,10014387,Probable,5093,3541,Q251347,Q425120,Q653924,Q56644435
haloperidol,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,5093,4053,Q251347,Q213511,Q653924,Q18603603
haloperidol,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,5093,2403,Q251347,Q407972,Q653924,Q18603603
chlorpromazine,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,2403,18330,Q407972,Q7739,Q653924,Q18603603
chlorpromazine,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,2403,4053,Q407972,Q213511,Q653924,Q18603603
clomipramine,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,2597,3541,Q58713,Q425120,Q653924,Q18603603
ondansetron,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,26225,3541,Q410011,Q425120,Q653924,Q18603603
ondansetron,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,26225,4053,Q410011,Q213511,Q653924,Q18603603
vardenafil,sotalol,Electrocardiogram QT prolonged,10014387,Theoretical,306674,9947,Q424161,Q413591,Q653924,Q18603603
disopyramide,voriconazole,Electrocardiogram QT prolonged,10014387,Theoretical,3541,121243,Q425120,Q412236,Q653924,Q18603603
sunitinib,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,357977,4053,Q417542,Q213511,Q653924,Q18603603
ranolazine,voriconazole,Electrocardiogram QT prolonged,10014387,Theoretical,35829,121243,Q907104,Q412236,Q653924,Q18603603
toremifene,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,38409,1098413,Q3993743,Q7914515,Q653924,Q18603603
lapatinib,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,480167,4053,Q420323,Q213511,Q653924,Q18603603
voriconazole,quinine,Electrocardiogram QT prolonged,10014387,Theoretical,121243,9071,Q412236,Q189522,Q653924,Q18603603
paliperidone,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,679314,6813,Q423292,Q179996,Q653924,Q18603603
paliperidone,droperidol,Electrocardiogram QT prolonged,10014387,Theoretical,679314,3648,Q423292,Q174259,Q653924,Q18603603
paliperidone,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,679314,1043,Q423292,Q269111,Q653924,Q18603603
escitalopram,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,,26225,,Q410011,Q653924,Q18603603
risperidone,haloperidol,Electrocardiogram QT prolonged,10014387,Theoretical,35636,5093,Q412443,Q251347,Q653924,Q18603603
droperidol,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,3648,2597,Q174259,Q58713,Q653924,Q18603603
droperidol,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,3648,1043,Q174259,Q269111,Q653924,Q18603603
haloperidol,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,5093,26225,Q251347,Q410011,Q653924,Q18603603
haloperidol,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,5093,2597,Q251347,Q58713,Q653924,Q18603603
haloperidol,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,5093,1043,Q251347,Q269111,Q653924,Q18603603
chlorpromazine,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,2403,26225,Q407972,Q410011,Q653924,Q18603603
chlorpromazine,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,2403,3541,Q407972,Q425120,Q653924,Q18603603
chlorpromazine,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,2403,38409,Q407972,Q3993743,Q653924,Q18603603
chlorpromazine,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,2403,1098413,Q407972,Q7914515,Q653924,Q18603603
chlorpromazine,citalopram,Electrocardiogram QT prolonged,10014387,Theoretical,2403,2556,Q407972,Q409672,Q653924,Q18603603
chlorpromazine,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,2403,2597,Q407972,Q58713,Q653924,Q18603603
chlorpromazine,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,2403,1043,Q407972,Q269111,Q653924,Q18603603
citalopram,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,2556,26225,Q409672,Q410011,Q653924,Q18603603
citalopram,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,2556,38409,Q409672,Q3993743,Q653924,Q18603603
citalopram,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,2556,139462,Q409672,Q424940,Q653924,Q18603603
citalopram,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,2556,4053,Q409672,Q213511,Q653924,Q18603603
citalopram,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,2556,2597,Q409672,Q58713,Q653924,Q18603603
tetrabenazine,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,10390,1043,Q413050,Q269111,Q653924,Q18603603
ondansetron,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,26225,139462,Q410011,Q424940,Q653924,Q18603603
ondansetron,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,26225,233698,Q410011,Q408637,Q653924,Q18603603
ondansetron,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,26225,1148495,Q410011,Q5186964,Q653924,Q18603603
methadone,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,6813,596724,Q179996,Q408163,Q653924,Q18603603
methadone,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,6813,139462,Q179996,Q424940,Q653924,Q18603603
methadone,saquinavir,Electrocardiogram QT prolonged,10014387,Theoretical,6813,83395,Q179996,Q422654,Q653924,Q18603603
methadone,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,6813,,Q179996,,Q653924,Q18603603
methadone,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,6813,233698,Q179996,Q408637,Q653924,Q18603603
amiodarone,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,703,139462,Q410061,Q424940,Q653924,Q18603603
amiodarone,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,703,,Q410061,,Q653924,Q18603603
amiodarone,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,703,233698,Q410061,Q408637,Q653924,Q18603603
arsenic trioxide,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,18330,596724,Q7739,Q408163,Q653924,Q18603603
arsenic trioxide,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,18330,139462,Q7739,Q424940,Q653924,Q18603603
arsenic trioxide,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,18330,,Q7739,,Q653924,Q18603603
arsenic trioxide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,18330,233698,Q7739,Q408637,Q653924,Q18603603
arsenic trioxide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,18330,1148495,Q7739,Q5186964,Q653924,Q18603603
disopyramide,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,3541,596724,Q425120,Q408163,Q653924,Q18603603
disopyramide,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,3541,139462,Q425120,Q424940,Q653924,Q18603603
disopyramide,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,3541,,Q425120,,Q653924,Q18603603
disopyramide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,3541,233698,Q425120,Q408637,Q653924,Q18603603
disopyramide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,3541,1148495,Q425120,Q5186964,Q653924,Q18603603
sunitinib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,357977,1148495,Q417542,Q5186964,Q653924,Q18603603
toremifene,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,38409,596724,Q3993743,Q408163,Q653924,Q18603603
toremifene,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,38409,139462,Q3993743,Q424940,Q653924,Q18603603
toremifene,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,38409,,Q3993743,,Q653924,Q18603603
toremifene,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,38409,233698,Q3993743,Q408637,Q653924,Q18603603
toremifene,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,38409,1148495,Q3993743,Q5186964,Q653924,Q18603603
flecainide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,4441,233698,Q421381,Q408637,Q653924,Q18603603
dasatinib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,475342,1148495,Q27139135,Q5186964,Q653924,Q18603603
lapatinib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,480167,1148495,Q420323,Q5186964,Q653924,Q18603603
sorafenib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,495881,1148495,Q421136,Q5186964,Q653924,Q18603603
sotalol,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,9947,596724,Q413591,Q408163,Q653924,Q18603603
sotalol,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,9947,139462,Q413591,Q424940,Q653924,Q18603603
sotalol,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,9947,,Q413591,,Q653924,Q18603603
sotalol,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,9947,233698,Q413591,Q408637,Q653924,Q18603603
anagrelide,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,596724,4053,Q408163,Q213511,Q653924,Q18603603
anagrelide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,596724,233698,Q408163,Q408637,Q653924,Q18603603
anagrelide,eribulin,Electrocardiogram QT prolonged,10014387,Theoretical,596724,1045453,Q408163,Q408717,Q653924,Q18603603
anagrelide,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,596724,1098413,Q408163,Q7914515,Q653924,Q18603603
anagrelide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,596724,1148495,Q408163,Q5186964,Q653924,Q18603603
voriconazole,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,121243,,Q412236,,Q653924,Q18603603
moxifloxacin,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,139462,4053,Q424940,Q213511,Q653924,Q18603603
moxifloxacin,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,139462,21212,Q424940,Q118551,Q653924,Q18603603
moxifloxacin,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,139462,,Q424940,,Q653924,Q18603603
moxifloxacin,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,139462,233698,Q424940,Q408637,Q653924,Q18603603
moxifloxacin,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,139462,1098413,Q424940,Q7914515,Q653924,Q18603603
moxifloxacin,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,139462,1148495,Q424940,Q5186964,Q653924,Q18603603
saquinavir,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,83395,4053,Q422654,Q213511,Q653924,Q18603603
erythromycin,vinflunine,Electrocardiogram QT prolonged,10014387,Theoretical,4053,,Q213511,,Q653924,Q18603603
erythromycin,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,4053,,Q213511,,Q653924,Q18603603
erythromycin,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,4053,233698,Q213511,Q408637,Q653924,Q18603603
erythromycin,panobinostat,Electrocardiogram QT prolonged,10014387,Theoretical,4053,1603350,Q213511,Q7131441,Q653924,Q18603603
clarithromycin,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,21212,,Q118551,,Q653924,Q18603603
methotrimeprazine,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,6852,233698,Q417204,Q408637,Q653924,Q18603603
sulpiride,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,10239,233698,Q422418,Q408637,Q653924,Q18603603
vinflunine,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,,1148495,,Q5186964,Q653924,Q18603603
delamanid,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,,233698,,Q408637,Q653924,Q18603603
delamanid,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,,1098413,,Q7914515,Q653924,Q18603603
delamanid,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,,1148495,,Q5186964,Q653924,Q18603603
dronedarone,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,233698,1098413,Q408637,Q7914515,Q653924,Q18603603
dronedarone,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,233698,1148495,Q408637,Q5186964,Q653924,Q18603603
dronedarone,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,233698,1364105,Q408637,Q3896970,Q653924,Q18603603
vandetanib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1098413,1148495,Q7914515,Q5186964,Q653924,Q18603603
paliperidone,pimozide,Electrocardiogram QT prolonged,10014387,Theoretical,679314,8331,Q423292,Q144085,Q653924,Q18603603
escitalopram,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,,18330,,Q7739,Q653924,Q18603603
escitalopram,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,,3541,,Q425120,Q653924,Q18603603
escitalopram,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,,38409,,Q3993743,Q653924,Q18603603
escitalopram,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,,139462,,Q424940,Q653924,Q18603603
escitalopram,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,,4053,,Q213511,Q653924,Q18603603
escitalopram,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,,21212,,Q118551,Q653924,Q18603603
escitalopram,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,,,,,Q653924,Q18603603
escitalopram,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,,233698,,Q408637,Q653924,Q18603603
escitalopram,eribulin,Electrocardiogram QT prolonged,10014387,Theoretical,,1045453,,Q408717,Q653924,Q18603603
escitalopram,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,,1098413,,Q7914515,Q653924,Q18603603
escitalopram,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,,1148495,,Q5186964,Q653924,Q18603603
escitalopram,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,,1364105,,Q3896970,Q653924,Q18603603
escitalopram,droperidol,Electrocardiogram QT prolonged,10014387,Theoretical,,3648,,Q174259,Q653924,Q18603603
escitalopram,haloperidol,Electrocardiogram QT prolonged,10014387,Theoretical,,5093,,Q251347,Q653924,Q18603603
escitalopram,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,,2403,,Q407972,Q653924,Q18603603
escitalopram,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,,2597,,Q58713,Q653924,Q18603603
risperidone,pimozide,Electrocardiogram QT prolonged,10014387,Theoretical,35636,8331,Q412443,Q144085,Q653924,Q18603603
droperidol,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,3648,596724,Q174259,Q408163,Q653924,Q18603603
droperidol,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,3648,139462,Q174259,Q424940,Q653924,Q18603603
droperidol,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,3648,,Q174259,,Q653924,Q18603603
droperidol,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,3648,233698,Q174259,Q408637,Q653924,Q18603603
droperidol,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,3648,1148495,Q174259,Q5186964,Q653924,Q18603603
droperidol,pimozide,Electrocardiogram QT prolonged,10014387,Theoretical,3648,8331,Q174259,Q144085,Q653924,Q18603603
pimozide,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,8331,26225,Q144085,Q410011,Q653924,Q18603603
pimozide,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,8331,6813,Q144085,Q179996,Q653924,Q18603603
pimozide,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,8331,703,Q144085,Q410061,Q653924,Q18603603
pimozide,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,8331,18330,Q144085,Q7739,Q653924,Q18603603
pimozide,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,8331,3541,Q144085,Q425120,Q653924,Q18603603
pimozide,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,8331,38409,Q144085,Q3993743,Q653924,Q18603603
pimozide,sotalol,Electrocardiogram QT prolonged,10014387,Theoretical,8331,9947,Q144085,Q413591,Q653924,Q18603603
pimozide,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,8331,596724,Q144085,Q408163,Q653924,Q18603603
pimozide,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,8331,139462,Q144085,Q424940,Q653924,Q18603603
pimozide,efavirenz,Electrocardiogram QT prolonged,10014387,Theoretical,8331,195085,Q144085,Q422645,Q653924,Q18603603
pimozide,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,8331,4053,Q144085,Q213511,Q653924,Q18603603
pimozide,fluconazole,Electrocardiogram QT prolonged,10014387,Theoretical,8331,4450,Q144085,Q411478,Q653924,Q18603603
pimozide,sulpiride,Electrocardiogram QT prolonged,10014387,Theoretical,8331,10239,Q144085,Q422418,Q653924,Q18603603
pimozide,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,8331,,Q144085,,Q653924,Q18603603
pimozide,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,8331,1098413,Q144085,Q7914515,Q653924,Q18603603
pimozide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,8331,1148495,Q144085,Q5186964,Q653924,Q18603603
pimozide,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,8331,1364105,Q144085,Q3896970,Q653924,Q18603603
pimozide,haloperidol,Electrocardiogram QT prolonged,10014387,Theoretical,8331,5093,Q144085,Q251347,Q653924,Q18603603
pimozide,hydroxyzine,Electrocardiogram QT prolonged,10014387,Theoretical,8331,5553,Q144085,Q421937,Q653924,Q18603603
pimozide,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,8331,2403,Q144085,Q407972,Q653924,Q18603603
pimozide,citalopram,Electrocardiogram QT prolonged,10014387,Theoretical,8331,2556,Q144085,Q409672,Q653924,Q18603603
pimozide,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,8331,2597,Q144085,Q58713,Q653924,Q18603603
pimozide,tetrabenazine,Electrocardiogram QT prolonged,10014387,Theoretical,8331,10390,Q144085,Q413050,Q653924,Q18603603
pimozide,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,8331,1043,Q144085,Q269111,Q653924,Q18603603
haloperidol,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,5093,596724,Q251347,Q408163,Q653924,Q18603603
haloperidol,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,5093,139462,Q251347,Q424940,Q653924,Q18603603
haloperidol,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,5093,,Q251347,,Q653924,Q18603603
haloperidol,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,5093,233698,Q251347,Q408637,Q653924,Q18603603
haloperidol,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,5093,1148495,Q251347,Q5186964,Q653924,Q18603603
hydroxyzine,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,5553,233698,Q421937,Q408637,Q653924,Q18603603
chlorpromazine,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,2403,596724,Q407972,Q408163,Q653924,Q18603603
chlorpromazine,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,2403,139462,Q407972,Q424940,Q653924,Q18603603
chlorpromazine,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,2403,21212,Q407972,Q118551,Q653924,Q18603603
chlorpromazine,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,2403,,Q407972,,Q653924,Q18603603
chlorpromazine,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,2403,233698,Q407972,Q408637,Q653924,Q18603603
chlorpromazine,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,2403,1148495,Q407972,Q5186964,Q653924,Q18603603
citalopram,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,2556,,Q409672,,Q653924,Q18603603
citalopram,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,2556,233698,Q409672,Q408637,Q653924,Q18603603
citalopram,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,2556,1148495,Q409672,Q5186964,Q653924,Q18603603
clomipramine,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,2597,139462,Q58713,Q424940,Q653924,Q18603603
ondansetron,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,26225,114176,Q410011,Q228143,Q653924,Q18603603
methadone,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,6813,114176,Q179996,Q228143,Q653924,Q18603603
