,DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,MICROMEDEX_EVID_LEVEL,DRUG_1_CODE,DRUG_2_CODE
1749,droperidol,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,739323,837027
1769,haloperidol,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,766529,1000560
1804,haloperidol,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,766529,798834
1839,haloperidol,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,766529,837027
1874,chlorpromazine,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1000560
1899,chlorpromazine,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1335606
1924,chlorpromazine,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1342346
1949,chlorpromazine,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,794852,40238052
1969,chlorpromazine,citalopram,Electrocardiogram QT prolonged,10014387,Theoretical,794852,797617
1994,chlorpromazine,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,794852,798834
2019,chlorpromazine,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,794852,837027
2044,citalopram,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,797617,1000560
2069,citalopram,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,797617,1342346
2094,citalopram,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,797617,1716903
2119,citalopram,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,797617,1746940
2154,citalopram,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,797617,798834
2179,tetrabenazine,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,836877,837027
2199,ondansetron,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,1716903
2224,ondansetron,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,40163615
2249,ondansetron,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,40242675
2269,methadone,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,1381253
2294,methadone,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,1716903
2319,methadone,saquinavir,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,1746244
2344,methadone,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,36879076
2364,methadone,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,40163615
2389,amiodarone,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,1716903
2414,amiodarone,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,36879076
2434,amiodarone,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,40163615
2459,arsenic trioxide,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,1381253
2479,arsenic trioxide,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,1716903
2499,arsenic trioxide,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,36879076
2515,arsenic trioxide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,40163615
2535,arsenic trioxide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,40242675
2551,disopyramide,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,1381253
2576,disopyramide,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,1716903
2601,disopyramide,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,36879076
2621,disopyramide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,40163615
2646,disopyramide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,40242675
2666,sunitinib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1336539,40242675
2686,toremifene,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,1381253
2711,toremifene,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,1716903
2736,toremifene,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,36879076
2756,toremifene,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,40163615
2781,toremifene,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,40242675
2801,flecainide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1354860,40163615
2826,dasatinib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1358436,40242675
2842,lapatinib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1359548,40242675
2862,sorafenib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1363387,40242675
2882,sotalol,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,1370109,1381253
2907,sotalol,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,1370109,1716903
2932,sotalol,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1370109,36879076
2952,sotalol,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1370109,40163615
2977,anagrelide,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1381253,1746940
3012,anagrelide,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1381253,40163615
3037,anagrelide,eribulin,Electrocardiogram QT prolonged,10014387,Theoretical,1381253,40230712
3062,anagrelide,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,1381253,40238052
3082,anagrelide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1381253,40242675
3102,voriconazole,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1714277,36879076
3118,moxifloxacin,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,1746940
3153,moxifloxacin,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,1750500
3173,moxifloxacin,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,36879076
3193,moxifloxacin,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,40163615
3218,moxifloxacin,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,40238052
3238,moxifloxacin,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,40242675
3258,saquinavir,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1746244,1746940
3293,erythromycin,vinflunine,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,36878852
3328,erythromycin,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,36879076
3356,erythromycin,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,40163615
3391,erythromycin,panobinostat,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,46221435
3419,clarithromycin,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,1750500,36879076
3435,methotrimeprazine,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,19005147,40163615
3455,sulpiride,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,19136626,40163615
3475,vinflunine,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,36878852,40242675
3495,delamanid,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,36879076,40163615
3515,delamanid,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,36879076,40238052
3531,delamanid,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,36879076,40242675
3547,dronedarone,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,40163615,40238052
3567,dronedarone,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,40163615,40242675
3587,dronedarone,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,40163615,43012417
3612,vandetanib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,40238052,40242675
3628,paliperidone,pimozide,Electrocardiogram QT prolonged,10014387,Theoretical,703244,745790
3648,escitalopram,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1333379
3668,escitalopram,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1335606
3693,escitalopram,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1342346
3718,escitalopram,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1716903
3743,escitalopram,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1746940
3778,escitalopram,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1750500
3798,escitalopram,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,715939,36879076
3818,escitalopram,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,715939,40163615
3843,escitalopram,eribulin,Electrocardiogram QT prolonged,10014387,Theoretical,715939,40230712
3868,escitalopram,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,715939,40238052
3888,escitalopram,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,715939,40242675
3908,escitalopram,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,715939,43012417
3933,escitalopram,droperidol,Electrocardiogram QT prolonged,10014387,Theoretical,715939,739323
3953,escitalopram,haloperidol,Electrocardiogram QT prolonged,10014387,Theoretical,715939,766529
3988,escitalopram,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,715939,794852
4013,escitalopram,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,715939,798834
4038,risperidone,pimozide,Electrocardiogram QT prolonged,10014387,Theoretical,735979,745790
4054,droperidol,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1381253
4074,droperidol,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1716903
4094,droperidol,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,739323,36879076
4110,droperidol,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,739323,40163615
4130,droperidol,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,739323,40242675
4146,droperidol,pimozide,Electrocardiogram QT prolonged,10014387,Theoretical,739323,745790
4162,pimozide,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1000560
4182,pimozide,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1103640
4202,pimozide,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1309944
4222,pimozide,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1333379
4238,pimozide,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1335606
4258,pimozide,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1342346
4278,pimozide,sotalol,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1370109
4298,pimozide,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1381253
4318,pimozide,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1716903
4338,pimozide,efavirenz,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1738135
4354,pimozide,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1746940
4382,pimozide,fluconazole,Electrocardiogram QT prolonged,10014387,Theoretical,745790,1754994
4398,pimozide,sulpiride,Electrocardiogram QT prolonged,10014387,Theoretical,745790,19136626
4414,pimozide,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,745790,36879076
4430,pimozide,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,745790,40238052
4446,pimozide,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,745790,40242675
4462,pimozide,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,745790,43012417
4482,pimozide,haloperidol,Electrocardiogram QT prolonged,10014387,Theoretical,745790,766529
4510,pimozide,hydroxyzine,Electrocardiogram QT prolonged,10014387,Theoretical,745790,777221
4534,pimozide,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,745790,794852
4554,pimozide,citalopram,Electrocardiogram QT prolonged,10014387,Theoretical,745790,797617
4574,pimozide,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,745790,798834
4594,pimozide,tetrabenazine,Electrocardiogram QT prolonged,10014387,Theoretical,745790,836877
4610,pimozide,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,745790,837027
4630,haloperidol,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,766529,1381253
4665,haloperidol,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,766529,1716903
4700,haloperidol,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,766529,36879076
4728,haloperidol,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,766529,40163615
4763,haloperidol,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,766529,40242675
4791,hydroxyzine,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,777221,40163615
4821,chlorpromazine,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1381253
4846,chlorpromazine,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1716903
4871,chlorpromazine,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1750500
4891,chlorpromazine,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,794852,36879076
4911,chlorpromazine,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,794852,40163615
4936,chlorpromazine,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,794852,40242675
4956,citalopram,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,797617,36879076
4976,citalopram,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,797617,40163615
5001,citalopram,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,797617,40242675
5021,clomipramine,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,798834,1716903
5046,ondansetron,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,19010886
5091,methadone,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,19010886
5136,methadone,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,43012417
5161,amiodarone,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,19010886
5206,arsenic trioxide,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,19010886
5242,arsenic trioxide,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,43012417
5262,disopyramide,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,19010886
5307,disopyramide,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,43012417
5332,toremifene,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,19010886
5377,toremifene,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,43012417
5402,sotalol,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1370109,19010886
5447,sotalol,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1370109,43012417
5472,anagrelide,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1381253,19010886
5517,moxifloxacin,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,19010886
5562,moxifloxacin,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1716903,43012417
5587,erythromycin,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,19010886
5650,erythromycin,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,43012417
5685,erythromycin,bedaquiline,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,43012518
5720,clarithromycin,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,1750500,19010886
5756,methotrimeprazine,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,19005147,19010886
5792,zuclopenthixol,amisulpride,Electrocardiogram QT prolonged,10014387,Theoretical,19010886,19057607
5828,zuclopenthixol,sulpiride,Electrocardiogram QT prolonged,10014387,Theoretical,19010886,19136626
5864,zuclopenthixol,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,19010886,36879076
5900,zuclopenthixol,dronedarone,Electrocardiogram QT prolonged,10014387,Theoretical,19010886,40163615
5945,zuclopenthixol,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,19010886,40238052
5981,zuclopenthixol,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,19010886,40242675
6017,zuclopenthixol,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,19010886,43012417
6062,vandetanib,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,40238052,43012417
6082,crizotinib,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,40242675,43012417
6102,paliperidone,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,703244,19010886
6147,escitalopram,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,715939,19010886
6192,risperidone,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,735979,19010886
6228,droperidol,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,739323,19010886
6264,droperidol,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,739323,43012417
6284,pimozide,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,745790,19010886
6320,haloperidol,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,766529,19010886
6383,haloperidol,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,766529,43012417
6418,hydroxyzine,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,777221,19010886
6472,chlorpromazine,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,794852,19010886
6517,chlorpromazine,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,794852,43012417
6542,citalopram,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,797617,19010886
6587,citalopram,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,797617,43012417
6612,clomipramine,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,798834,19010886
6657,tetrabenazine,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,836877,19010886
6693,apomorphine,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,837027,19010886
6738,tolterodine,zuclopenthixol,Electrocardiogram QT prolonged,10014387,Theoretical,913782,19010886
6783,ondansetron,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,40238052
6803,methadone,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,1333379
6823,disopyramide,efavirenz,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,1738135
6843,dasatinib,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1358436,1746940
6871,voriconazole,osimertinib,Electrocardiogram QT prolonged,10014387,Theoretical,1714277,35605522
6887,efavirenz,vinflunine,Electrocardiogram QT prolonged,10014387,Theoretical,1738135,36878852
6907,efavirenz,vemurafenib,Electrocardiogram QT prolonged,10014387,Theoretical,1738135,40241937
6923,erythromycin,osimertinib,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,35605522
6951,erythromycin,pazopanib,Electrocardiogram QT prolonged,10014387,Theoretical,1746940,40167554
6986,clarithromycin,osimertinib,Electrocardiogram QT prolonged,10014387,Theoretical,1750500,35605522
7002,osimertinib,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,35605522,40242675
7018,paliperidone,haloperidol,Electrocardiogram QT prolonged,10014387,Theoretical,703244,766529
7053,paliperidone,hydroxyzine,Electrocardiogram QT prolonged,10014387,Theoretical,703244,777221
7083,escitalopram,hydroxyzine,Electrocardiogram QT prolonged,10014387,Theoretical,715939,777221
7113,risperidone,hydroxyzine,Electrocardiogram QT prolonged,10014387,Theoretical,735979,777221
7137,droperidol,hydroxyzine,Electrocardiogram QT prolonged,10014387,Theoretical,739323,777221
7161,haloperidol,hydroxyzine,Electrocardiogram QT prolonged,10014387,Theoretical,766529,777221
7203,haloperidol,citalopram,Electrocardiogram QT prolonged,10014387,Theoretical,766529,797617
7238,hydroxyzine,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1000560
7268,hydroxyzine,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1333379
7292,hydroxyzine,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1335606
7322,hydroxyzine,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1342346
7352,hydroxyzine,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1381253
7382,hydroxyzine,moxifloxacin,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1716903
7412,hydroxyzine,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1746940
7454,hydroxyzine,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1750500
7478,hydroxyzine,delamanid,Electrocardiogram QT prolonged,10014387,Theoretical,777221,36879076
7502,hydroxyzine,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,777221,40238052
